gene_id	gene_name	class	Huisinga_class
YLR061W	RPL22A	TFIID	TFIID-dominated
YNL153C	GIM3	TFIID	TFIID-dominated
YMR308C	PSE1	TFIID	TFIID-dominated
YPL210C	SRP72	TFIID	TFIID-dominated
YDR429C	TIF35	TFIID	TFIID-dominated
YDR447C	RPS17B	TFIID	TFIID-dominated
YOR361C	PRT1	TFIID	TFIID-dominated
YNL110C	NOP15	TFIID	TFIID-dominated
YDR341C	YDR341C	TFIID	TFIID-dominated
YGR279C	SCW4	CR	TFIID-dominated
YKL117W	SBA1	TFIID	TFIID-dominated
YHR064C	SSZ1	TFIID	TFIID-dominated
YOR355W	GDS1	TFIID	TFIID-dominated
YBR121C	GRS1	TFIID	TFIID-dominated
YNL189W	SRP1	TFIID	TFIID-dominated
YDR368W	YPR1	TFIID	TFIID-dominated
YNL241C	ZWF1	CR	SAGA-dominated
YOL121C	RPS19A	TFIID	TFIID-dominated
YKL103C	APE1	CR	SAGA-dominated
YLR287C-A	RPS30A	CR	TFIID-dominated
YNL096C	RPS7B	TFIID	SAGA/TFIID
YHL034C	SBP1	TFIID	TFIID-dominated
YLR455W	PDP3	TFIID	TFIID-dominated
YNL070W	TOM7	TFIID	TFIID-dominated
YIL148W	RPL40A	TFIID	TFIID-dominated
YER009W	NTF2	TFIID	TFIID-dominated
YJR122W	IBA57	TFIID	TFIID-dominated
YHR183W	GND1	CR	TFIID-dominated
YNL104C	LEU4	CR	SAGA-dominated
YGR094W	VAS1	TFIID	TFIID-dominated
YDR158W	HOM2	CR	TFIID-dominated
YPL260W	YPL260W	TFIID	TFIID-dominated
YAL025C	MAK16	TFIID	TFIID-dominated
YDR238C	SEC26	TFIID	TFIID-dominated
YPR024W	YME1	TFIID	TFIID-dominated
YPR181C	SEC23	TFIID	SAGA/TFIID
YNL118C	DCP2	TFIID	TFIID-dominated
YKR008W	RSC4	TFIID	TFIID-dominated
YER090W	TRP2	TFIID	TFIID-dominated
YOR117W	RPT5	TFIID	TFIID-dominated
YGR034W	RPL26B	TFIID	TFIID-dominated
YNL212W	VID27	TFIID	TFIID-dominated
YMR229C	RRP5	TFIID	TFIID-dominated
YAL016W	TPD3	TFIID	TFIID-dominated
YMR161W	HLJ1	TFIID	TFIID-dominated
YFR052W	RPN12	TFIID	TFIID-dominated
YNL066W	SUN4	CR	SAGA-dominated
YFL016C	MDJ1	TFIID	TFIID-dominated
YNL113W	RPC19	TFIID	TFIID-dominated
YOR168W	GLN4	TFIID	TFIID-dominated
YPL204W	HRR25	TFIID	TFIID-dominated
YGL190C	CDC55	TFIID	TFIID-dominated
YOR370C	MRS6	TFIID	TFIID-dominated
YDR151C	CTH1	TFIID	TFIID-dominated
YKR057W	RPS21A	TFIID	TFIID-dominated
YER087C-B	SBH1	TFIID	
YDR035W	ARO3	TFIID	TFIID-dominated
YOR267C	HRK1	TFIID	SAGA-dominated
